City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Seymour,12,US,1547321288,77,33.59,-99.26,44.54,22.84
Port Keats,56,AU,1547321289,100,-14.25,129.55,79.86,6.62
Floresta,0,BR,1547321289,29,-8.6,-38.57,94.44,8.08
Atyrau,75,KZ,1547319600,94,47.1,51.92,32.0,11.18
Pauini,48,BR,1547321290,92,-7.71,-67.0,80.49,2.37
Sison,0,PH,1547321290,87,16.17,120.51,64.88,2.37
Moose Factory,90,CA,1547316000,83,51.26,-80.61,-5.81,11.41
Mackay,1,CA,1547319600,100,53.65,-115.58,26.6,5.82
Behbahan,64,IR,1547319600,93,30.59,50.24,48.2,0.47
San Andres,92,PH,1547321291,100,13.32,122.68,77.16,17.81
Saurimo,92,AO,1547321029,72,-9.66,20.4,74.82,3.04
Yanam,8,IN,1547321291,82,16.73,82.22,71.18,8.19
Novoseleznevo,76,RU,1547321292,84,55.68,69.21,3.05,13.89
Tocopilla,0,CL,1547319488,78,-22.09,-70.2,69.47,6.73
Cao Bang,92,VN,1547321292,100,22.67,106.25,56.87,1.59
Maniitsoq,32,GL,1547321292,100,65.42,-52.9,7.59,6.4
Fort Smith,90,US,1547320500,92,35.39,-94.42,44.6,4.7
Puerto Narino,75,CO,1547319600,83,-3.77,-70.38,82.4,3.36
Evensk,8,RU,1547321293,100,61.92,159.24,3.5,5.95
Sosnovka,68,RU,1547321294,81,53.23,41.37,9.53,11.77
Abu Zabad,0,SD,1547321294,41,12.35,29.25,72.66,8.41
Yamada,40,JP,1547319600,100,36.58,137.08,32.0,1.12
Santiago,20,CL,1547319600,36,-33.44,-70.65,80.6,9.17
Longyearbyen,20,NO,1547315400,50,78.22,15.63,8.6,19.46
Ngaoundere,8,CM,1547321295,29,7.32,13.58,73.47,8.08
Aykhal,24,RU,1547321295,43,65.95,111.51,-28.37,4.05
Huarmey,12,PE,1547321296,49,-10.07,-78.15,80.85,5.95
Esperance,20,TT,1547316000,55,10.24,-61.45,86.0,12.75
Awjilah,48,LY,1547321296,58,29.14,21.3,55.92,19.82
San Felipe,12,CL,1547320862,69,-32.75,-70.73,66.23,1.25
Port Hedland,0,AU,1547319600,88,-20.31,118.58,82.4,11.41
Opuwo,0,NA,1547321297,19,-18.06,13.84,81.84,11.99
Nantucket,75,US,1547319360,25,41.28,-70.1,30.02,11.41
Sao Joao da Barra,20,BR,1547319600,55,-21.64,-41.05,86.0,14.99
Stawell,0,AU,1547321298,77,-37.06,142.77,54.21,13.0
Taltal,0,CL,1547321298,67,-25.41,-70.49,69.24,5.06
Mujiayingzi,0,CN,1547321298,68,42.12,118.78,8.22,3.83
Waverley,75,AU,1547319600,88,-33.9,151.26,71.6,21.92
Zaragoza,0,ES,1547319600,75,41.65,-0.88,46.4,21.92
Laguna,20,MX,1547318580,44,27.52,-110.01,75.2,3.36
Vila Franca do Campo,75,PT,1547317800,82,37.72,-25.43,60.8,13.87
Praia da Vitoria,40,PT,1547316000,77,38.73,-27.07,60.8,23.29
Kuzhener,88,RU,1547321300,78,56.81,48.92,10.47,5.61
Sterling,90,US,1547320500,80,39.0,-77.4,35.96,4.7
Arambagh,0,IN,1547321300,81,22.88,87.79,54.12,3.15
Kidal,20,ML,1547321300,14,18.44,1.41,67.71,6.73
Atikokan,0,CA,1547321301,62,48.76,-91.62,15.83,4.61
Nome,1,US,1547320500,53,30.04,-94.42,71.06,12.75
Carndonagh,92,IE,1547321301,91,55.25,-7.27,49.8,25.52
Iberia,92,PE,1547321301,73,-11.41,-69.49,80.54,0.81
Nyurba,48,RU,1547321302,76,63.29,118.35,-11.63,6.4
Puerto Leguizamo,76,CO,1547321302,76,-0.19,-74.78,84.81,2.71
Tual,56,ID,1547321302,100,-5.67,132.75,82.11,11.21
Kuliyapitiya,0,LK,1547316600,78,7.47,80.04,77.0,10.29
Bethel,90,US,1547319960,77,60.79,-161.76,-13.01,20.8
Hirara,88,JP,1547321045,100,24.8,125.28,70.82,17.47
Perehonivka,90,UA,1547319600,92,49.98,30.49,24.8,8.95
Wanning,75,AT,1547319000,96,48.64,13.53,39.2,11.41
Norman Wells,40,CA,1547316000,73,65.28,-126.83,-32.81,2.24
Wajid,8,SO,1547321304,40,3.81,43.25,79.05,9.42
Lazaro Cardenas,5,MX,1547318400,35,28.39,-105.62,57.2,10.29
Elk Grove,1,US,1547319480,85,38.41,-121.37,57.92,2.82
Tura,0,IN,1547319726,80,25.52,90.21,51.6,2.37
Hamilton,40,BM,1547319300,63,32.3,-64.78,64.4,9.17
Terrace,90,CA,1547320980,100,54.52,-128.61,32.0,6.93
Gurupi,36,BR,1547321306,63,-11.73,-49.07,88.55,9.64
Dudinka,36,RU,1547321306,0,69.41,86.18,-34.98,20.27
Port Hardy,75,CA,1547319600,76,50.7,-127.42,48.2,21.92
Portland,20,US,1547319180,62,45.52,-122.67,50.0,5.82
Yumen,8,CN,1547321307,52,40.29,97.04,-3.21,2.71
Porto Murtinho,20,BR,1547321307,75,-21.7,-57.88,90.66,6.62
Labuhan,76,ID,1547321307,96,-2.54,115.51,73.43,1.7
Zaigrayevo,8,RU,1547319600,83,51.83,108.27,-13.01,2.26
Sagaing,0,MM,1547321182,88,21.88,95.98,61.59,4.16
Volga,90,US,1547319360,80,44.32,-96.93,29.3,5.82
Killybegs,90,IE,1547317800,93,54.63,-8.45,50.0,24.16
Altamira,40,BR,1547316000,59,-3.2,-52.21,89.6,10.29
Churapcha,12,RU,1547321309,0,62.0,132.43,-38.99,1.59
Samarina,8,RU,1547319600,92,57.89,27.81,26.6,4.47
Manono,80,CD,1547321310,89,-7.3,27.4,73.88,5.06
Lichinga,92,MZ,1547321310,96,-13.3,35.25,68.7,2.93
Bundaberg,56,AU,1547319600,88,-24.87,152.35,68.0,6.93
Sawakin,20,SD,1547319600,61,19.1,37.33,78.8,4.7
Buala,48,SB,1547319591,99,-8.15,159.59,79.95,5.73
Tateyama,80,JP,1547321311,100,36.66,137.31,28.97,0.81
Kajaani,90,FI,1547319000,79,64.22,27.73,23.0,11.41
Yerbogachen,24,RU,1547321312,40,61.28,108.01,-13.11,3.6
Okhotsk,0,RU,1547321312,100,59.36,143.24,-8.3,8.52
Narsaq,75,GL,1547315400,69,60.91,-46.05,33.8,4.7
Roanoke Rapids,40,US,1547320800,69,36.46,-77.65,40.1,6.73
Mabaruma,8,GY,1547321313,67,8.2,-59.78,83.24,8.86
Coihaique,20,CL,1547319600,41,-45.58,-72.07,59.0,4.7
Maamba,44,ZM,1547321313,75,-17.36,27.22,76.94,2.59
Visnes,75,NO,1547319000,87,59.36,5.22,44.6,19.46
Opole Lubelskie,90,PL,1547319600,86,51.15,21.97,33.8,11.41
Bony,90,FR,1547319600,93,49.99,3.22,46.4,10.29
Umm Lajj,32,SA,1547321314,99,25.02,37.27,70.73,6.51
Mandalgovi,0,MN,1547320822,54,45.76,106.27,-7.85,3.04
Leh,56,IN,1547321314,64,34.16,77.58,-7.71,1.59
Nicoya,20,CR,1547319600,45,10.15,-85.45,87.8,12.75
Bilsanda,12,IN,1547321315,86,28.25,79.95,52.5,2.71
Khandyga,20,RU,1547321315,0,62.65,135.58,-39.71,2.37
Virginia Beach,90,US,1547319540,50,36.85,-75.98,44.06,3.36
Boras,90,SE,1547319000,100,57.72,12.94,30.2,3.36
Lac du Bonnet,76,CA,1547321316,85,50.25,-96.06,18.12,8.63
Ust-Maya,24,RU,1547321316,0,60.42,134.54,-34.53,2.59
Natal,40,BR,1547319600,74,-5.81,-35.21,82.4,19.46
Burriana,0,ES,1547319600,100,39.89,-0.08,42.8,8.05
Elat,56,CM,1547321317,73,2.91,11.16,76.94,3.71
Carballo,90,ES,1547319600,71,43.21,-8.69,50.0,9.17
Valle de Allende,0,MX,1547320917,56,26.94,-105.39,56.64,5.73
Ayan,92,TR,1547321318,100,40.67,33.6,32.48,2.26
Kutum,0,SD,1547321318,60,14.2,24.66,61.1,3.38
Merrill,1,US,1547319180,64,42.03,-121.6,39.92,5.82
Kurilsk,44,RU,1547321318,100,45.23,147.88,27.8,20.49
Pangai,40,TO,1547316000,83,-19.8,-174.35,78.8,14.99
Cherskiy,56,RU,1547319058,51,68.75,161.3,-17.3,1.92
Buenos Aires,20,AR,1547319600,57,-34.61,-58.44,82.4,8.05
Pombas,48,BR,1547321320,67,-15.9,-54.74,87.83,3.49
Balakovo,80,RU,1547321320,92,52.02,47.82,31.13,14.34
Lebowakgomo,20,ZA,1547319600,56,-24.3,29.54,75.2,14.99
Savonlinna,0,FI,1547319000,85,61.87,28.88,21.2,11.41
Boa Vista,75,BR,1547319600,41,2.82,-60.67,91.4,9.17
Salto del Guaira,8,PY,1547321322,59,-24.06,-54.31,93.0,5.17
Skibbereen,75,IE,1547319600,93,51.55,-9.27,48.2,10.29
Ermelo,75,NL,1547319300,93,52.3,5.62,46.4,9.17
Boende,32,CD,1547321322,70,-0.28,20.88,81.53,4.27
Saint-Augustin,75,FR,1547319600,93,44.83,-0.61,42.8,4.7
Pangody,80,RU,1547321323,74,65.85,74.49,-6.59,20.71
Ilhabela,36,BR,1547321323,100,-23.78,-45.36,79.37,8.19
Rabaul,12,PG,1547321323,100,-4.2,152.17,78.92,2.26
Ushtobe,0,KZ,1547321324,55,45.25,77.98,5.79,2.59
Orizona,0,BR,1547321324,77,-17.03,-48.3,84.45,4.83
Amga,44,RU,1547321324,44,60.89,131.98,-28.1,2.59
Rome,0,IT,1547319000,55,41.89,12.48,39.2,2.24
Morro Bay,90,US,1547319360,68,35.37,-120.85,60.08,3.71
Petropavlovsk-Kamchatskiy,88,RU,1547319600,58,53.05,158.65,30.2,11.18
Bonavista,12,CA,1547321325,94,48.65,-53.11,31.94,18.48
Wanaka,92,NZ,1547321325,86,-44.7,169.14,39.77,2.59
Sorong,44,ID,1547321326,100,-0.86,131.25,82.07,7.4
Diplo,0,PK,1547321326,82,24.47,69.59,59.39,8.75
Agirish,64,RU,1547321326,83,61.92,63.02,7.32,8.08
Bireun,24,ID,1547321326,100,5.2,96.7,80.94,7.63
Srednekolymsk,88,RU,1547321327,31,67.46,153.71,-21.21,3.04
